Timestamp,DEVICE0,DEVICE1,DEVICE2,DEVICE3,DEVICE4,DEVICE5,DEVICE6,DEVICE7
1446666289.8441,-73,-84,-72,-75,-78,-86,-73,-79
1446666292.373524,-73,-84,-72,-74,-78,-87,-73,-78
1446666294.886872,-73,-83,-71,-74,-77,-88,-73,-77
1446666297.4004,-73,-84,-71,-75,-80,-88,-73,-78
1446666299.913874,-73,-83,-79,-73,-79,-87,-75,-79
1446666302.443134,-73,-82,-83,-73,-79,-82,-74,-80
1446666304.956633,-73,-83,-82,-74,-80,-72,-75,-85
1446666307.47003,-73,-83,-81,-74,-80,-71,-75,-89
1446666309.983606,-73,-83,-84,-74,-80,-73,-74,-78
1446666312.512807,-73,-83,-83,-73,-80,-73,-83,-78
1446666315.026223,-75,-84,-82,-73,-80,-80,-90,-77
1446666317.539735,-73,-88,-85,-73,-80,-85,-90,-77
1446666320.053086,-73,-87,-83,-73,-79,-85,-77,-77
1446666322.56656,-73,-88,-81,-73,-79,-83,-76,-77
1446666325.095778,-73,-81,-71,-74,-79,-74,-86,-76
1446666327.609136,-74,-79,-71,-79,-79,-73,-74,-77
1446666330.122642,-73,-80,-78,-78,-80,-84,-83,-77
1446666332.636073,-73,-81,-79,-78,-80,-85,-74,-78
1446666335.149396,-73,-82,-80,-77,-79,-86,-74,-78
1446666337.662868,-73,-80,-82,-78,-80,-85,-74,-78
1446666340.192305,-74,-81,-81,-77,-79,-86,-73,-78
1446666342.70554,-76,-80,-76,-77,-75,-75,-83,-88
1446666345.218996,-76,-80,-71,-77,-76,-73,-74,-87
1446666347.732507,-76,-85,-71,-77,-75,-73,-79,-80
1446666350.246043,-76,-81,-71,-78,-77,-73,-82,-80
1446666352.77531,-75,-80,-71,-78,-79,-72,-74,-81
1446666355.288743,-75,-81,-71,-78,-80,-72,-87,-80
1446666357.802171,-75,-82,-71,-78,-78,-73,-88,-82
1446666360.331467,-75,-80,-71,-78,-78,-72,-74,-82
1446666362.844955,-76,-81,-71,-78,-79,-72,-74,-81
1446666365.358443,-77,-80,-71,-78,-79,-72,-74,-80
1446666367.871883,-76,-80,-71,-77,-80,-72,-74,-81
1446666370.385499,-75,-80,-71,-78,-80,-72,-74,-81
1446666372.8989,-76,-81,-71,-78,-76,-72,-75,-81
1446666375.428058,-75,-83,-71,-78,-74,-72,-88,-81
1446666377.941601,-76,-82,-71,-78,-75,-72,-84,-81
1446666380.455139,-75,-81,-71,-78,-75,-73,-76,-80
1446666382.968483,-74,-81,-71,-79,-74,-73,-89,-81
1446666385.497713,-73,-82,-71,-78,-76,-73,-80,-81
1446666388.011169,-73,-83,-71,-78,-78,-73,-74,-81
1446666390.52476,-73,-83,-71,-78,-78,-73,-75,-81
1446666393.03826,-75,-83,-71,-78,-77,-73,-74,-80
1446666395.567376,-76,-83,-71,-78,-74,-73,-74,-79
1446666398.080906,-76,-83,-71,-77,-74,-87,-76,-79
1446666400.594453,-76,-83,-71,-78,-75,-79,-87,-79
1446666403.107861,-75,-80,-71,-77,-76,-73,-73,-85
1446666405.637048,-76,-80,-71,-79,-78,-73,-74,-83
1446666408.150469,-76,-80,-77,-79,-79,-73,-74,-79
1446666410.66413,-76,-80,-85,-78,-79,-73,-74,-81
1446666413.193394,-77,-80,-81,-78,-79,-73,-74,-81
1446666415.70676,-75,-82,-78,-77,-82,-73,-74,-81
1446666418.220278,-76,-83,-78,-76,-84,-78,-73,-80
1446666420.734028,-76,-83,-77,-77,-84,-72,-76,-80
1446666423.247235,-76,-83,-71,-75,-76,-73,-87,-79
1446666425.776485,-75,-83,-73,-75,-76,-73,-91,-79
1446666428.289906,-77,-80,-84,-74,-75,-73,-90,-85
1446666430.803421,-78,-84,-80,-74,-76,-73,-89,-86
1446666433.316904,-79,-83,-80,-74,-76,-72,-74,-84
1446666435.846211,-78,-85,-82,-75,-81,-73,-74,-79
1446666438.359688,-77,-82,-79,-75,-83,-73,-74,-79
1446666440.873108,-76,-80,-71,-76,-77,-73,-74,-79
1446666443.386514,-76,-85,-71,-77,-76,-72,-74,-85
1446666445.915785,-77,-84,-71,-77,-77,-72,-74,-85
1446666448.429174,-77,-84,-71,-78,-76,-74,-74,-84
1446666450.942714,-76,-85,-70,-77,-76,-72,-74,-87
1446666453.456208,-76,-82,-71,-77,-77,-72,-74,-85
1446666455.969639,-76,-80,-70,-77,-78,-73,-73,-84
1446666458.498835,-76,-80,-75,-77,-79,-73,-74,-86
1446666461.01243,-77,-80,-76,-74,-80,-73,-74,-87
1446666463.525776,-77,-80,-76,-77,-81,-73,-74,-88
