Timestamp,DEVICE0,DEVICE1
1449254636.449977,0.0,0.0
1449254642.40593,17.0,2.0
1449254648.377326,1.0,4.0
1449254654.348839,11.0,2.0
1449254660.30472,6.0,5.0
1449254666.276437,10.0,2.0
1449254672.249187,5.0,1.0
1449254678.221161,15.0,5.0
1449254684.177399,5.0,1.0
1449254690.148556,1.0,7.0
1449254696.12038,9.0,3.0
1449254702.076616,12.0,16.0
1449254708.063586,13.0,11.0
1449254714.036677,13.0,3.0
1449254720.008203,13.0,0.0
1449254725.995731,12.0,0.0
1449254731.999219,0.0,0.0
1449254737.988549,0.0,0.0
1449254743.990606,0.0,0.0
